"Asset","mu","alpha","gamma","beta","nu","persistence","LB_std_p","LB_sq_p"
"Cocoa_NY",0.000755,0.0396,-0.0259,0.9723,6.74,0.999,0.916,0.964
"Cocoa_London",0.000388,0.03,-0.0045,0.9711,4.75,0.9988,0.139,0.472
"Coffee_Ara",-5.4e-05,0.0402,-0.0299,0.9666,8.6,0.9919,0.919,0.217
"Robusta",-0.000155,0.0197,-4e-04,0.979,5.96,0.9985,0.799,0.881
"Sugar",-0.00019,0.0532,0.032,0.7791,8.41,0.8484,0.282,0.712
"Cotton",8.8e-05,0.049,0.0052,0.9377,4.87,0.9893,0.32,0.999
"PalmOil",0.000241,0.065,0.0049,0.9215,6.05,0.989,0.008,0.999
"OJ",0.000272,0.0516,-0.0231,0.9589,8.72,0.999,0,0.973
"Corn",0.000229,0.0603,0.0276,0.8877,4.78,0.9618,0.81,0.322
"Soybeans",0.00013,0.056,-0.0058,0.9256,6.07,0.9787,0.225,0.523
"Wheat",-0.000225,0.0847,4e-04,0.873,8.98,0.9579,0.504,0.383
"WTI",0.000988,0.0716,0.0472,0.8672,5.58,0.9624,0.158,0.47
"DXY",6.1e-05,0.0476,0.0042,0.9368,11.68,0.9865,0.736,0.58
"VIX",-0.002546,0.2957,-0.3522,0.7531,4.32,0.8726,0.121,0.816
"UST10Y",-8.6e-05,0.0093,-0.0057,0.9875,2.85,0.994,0.955,1
"Ghana10Y",0,0.0423,0.8083,0.5328,2.27,0.9792,1,1
"BRL",0.000148,0.0594,-0.0435,0.9548,6.34,0.9925,0.202,0.906
"GHS",0.000342,0.3907,0.0218,0.5974,2.95,0.999,0,0.731
"VND",0,0.0509,0.0499,0.8992,3.97,0.975,0,0.994
"HRSHY",0.00041,0.0607,0.0672,0.8576,4.33,0.9519,0.456,0.967
"MDLZ",0.000292,0.0201,0.1085,0.873,4.22,0.9474,0.553,0.835
"NESN",0.000114,0.0373,0.0411,0.8821,4.7,0.94,0.081,0.711
"SBUX",0.000263,0.0477,0.1304,0.8436,3.44,0.9565,0.686,1
"SJM",0.000279,0.1877,-0.0083,0.4676,4.37,0.6512,0.119,0.993
"LISN",0.000435,0.0383,0.0537,0.9025,5.14,0.9677,0.14,0.937
